"Participant","Condition","RT","Error","Frequency"
"1","speed",0.475,TRUE,"nw_High"
"1","speed",0.597,TRUE,"nw_low"
"1","speed",0.563,TRUE,"low"
"1","speed",0.412,TRUE,"High"
"1","speed",0.504,TRUE,"nw_High"
"1","speed",0.47,TRUE,"nw_low"
"1","speed",0.627,TRUE,"nw_very_low"
"1","speed",0.406,TRUE,"low"
"1","speed",0.563,TRUE,"nw_very_low"
"1","speed",0.451,TRUE,"nw_very_low"
"1","speed",0.45,TRUE,"nw_low"
"1","speed",0.412,TRUE,"nw_very_low"
"1","speed",0.494,TRUE,"High"
"1","speed",0.549,TRUE,"low"
"1","speed",0.411,TRUE,"High"
"1","speed",0.441,FALSE,"nw_very_low"
"1","speed",0.852,TRUE,"very_low"
"1","speed",0.521,TRUE,"High"
"1","speed",0.652,TRUE,"nw_High"
"1","speed",0.696,FALSE,"very_low"
"1","speed",0.675,TRUE,"nw_High"
"1","speed",0.363,FALSE,"low"
"1","speed",0.489,FALSE,"low"
"1","speed",0.436,TRUE,"low"
"1","speed",0.436,TRUE,"nw_low"
"1","speed",0.426,TRUE,"very_low"
"1","speed",0.441,TRUE,"very_low"
"1","speed",0.475,TRUE,"nw_High"
"1","speed",0.729,FALSE,"nw_low"
"1","speed",0.505,FALSE,"High"
"1","speed",0.734,TRUE,"nw_low"
"1","speed",0.48,TRUE,"nw_very_low"
"1","speed",0.441,TRUE,"nw_low"
"1","speed",0.445,TRUE,"very_low"
"1","speed",0.49,TRUE,"very_low"
"1","speed",0.602,TRUE,"nw_High"
"1","accuracy",0.543,TRUE,"nw_low"
"1","accuracy",0.406,TRUE,"High"
"1","accuracy",0.47,TRUE,"low"
"1","accuracy",0.441,TRUE,"low"
"1","accuracy",0.451,TRUE,"High"
"1","accuracy",0.401,TRUE,"High"
"1","accuracy",0.48,TRUE,"very_low"
"1","accuracy",0.465,TRUE,"nw_low"
"1","accuracy",0.47,FALSE,"very_low"
"1","accuracy",0.923,TRUE,"nw_very_low"
"1","accuracy",0.671,TRUE,"very_low"
"1","accuracy",0.602,TRUE,"nw_very_low"
"1","accuracy",0.661,TRUE,"low"
"1","accuracy",0.847,TRUE,"nw_High"
"1","accuracy",0.651,TRUE,"very_low"
"1","accuracy",1.332,FALSE,"nw_very_low"
"1","accuracy",0.575,TRUE,"nw_High"
"1","accuracy",0.593,TRUE,"low"
"1","accuracy",0.661,TRUE,"nw_very_low"
"1","accuracy",1.018,TRUE,"nw_High"
"1","accuracy",0.627,TRUE,"nw_very_low"
"1","accuracy",0.499,TRUE,"nw_low"
"1","accuracy",0.813,TRUE,"nw_low"
"1","accuracy",0.539,TRUE,"nw_low"
"1","accuracy",0.812,TRUE,"nw_High"
"1","accuracy",0.431,TRUE,"nw_High"
"1","accuracy",0.642,FALSE,"nw_High"
"1","accuracy",0.477,TRUE,"nw_High"
"1","accuracy",0.534,TRUE,"High"
"1","accuracy",0.778,TRUE,"nw_low"
"1","accuracy",0.49,TRUE,"nw_very_low"
"1","accuracy",0.46,TRUE,"nw_low"
"1","accuracy",0.48,TRUE,"nw_low"
"1","accuracy",0.588,FALSE,"very_low"
"1","accuracy",0.707,TRUE,"nw_High"
"1","accuracy",0.461,TRUE,"nw_very_low"
"1","accuracy",0.51,TRUE,"nw_low"
"1","accuracy",0.573,FALSE,"nw_High"
"1","accuracy",0.379,TRUE,"nw_very_low"
"1","accuracy",0.5,TRUE,"nw_very_low"
"1","accuracy",0.49,TRUE,"nw_low"
"1","accuracy",0.872,TRUE,"nw_low"
"1","accuracy",0.661,TRUE,"very_low"
"1","accuracy",0.558,TRUE,"very_low"
"1","accuracy",0.705,TRUE,"very_low"
"1","accuracy",0.519,TRUE,"low"
"1","accuracy",0.573,TRUE,"nw_low"
"1","accuracy",0.543,TRUE,"low"
"1","accuracy",1.273,FALSE,"nw_very_low"
"1","accuracy",0.605,TRUE,"nw_very_low"
"1","accuracy",0.739,TRUE,"very_low"
"1","accuracy",0.559,TRUE,"High"
"1","accuracy",0.544,TRUE,"nw_very_low"
"1","accuracy",0.827,FALSE,"nw_low"
"1","accuracy",0.659,TRUE,"High"
"1","accuracy",0.539,TRUE,"High"
"1","accuracy",0.705,TRUE,"very_low"
"1","accuracy",0.685,TRUE,"low"
"1","accuracy",0.451,TRUE,"low"
"1","accuracy",0.48,TRUE,"High"
"1","accuracy",0.499,TRUE,"low"
"1","accuracy",0.808,TRUE,"nw_very_low"
"1","accuracy",0.641,TRUE,"very_low"
"1","accuracy",0.564,TRUE,"nw_High"
"1","accuracy",0.789,TRUE,"low"
"1","accuracy",0.729,TRUE,"nw_low"
"1","accuracy",0.666,TRUE,"nw_low"
"1","accuracy",0.49,TRUE,"nw_low"
"1","accuracy",0.785,TRUE,"nw_High"
"1","accuracy",0.514,TRUE,"High"
"1","accuracy",0.49,TRUE,"High"
"1","accuracy",0.588,TRUE,"very_low"
"1","accuracy",0.529,TRUE,"low"
"1","accuracy",0.499,TRUE,"very_low"
"1","accuracy",0.49,TRUE,"very_low"
"1","accuracy",0.583,TRUE,"nw_High"
"1","accuracy",0.808,TRUE,"low"
"1","accuracy",0.691,TRUE,"nw_very_low"
"1","accuracy",0.632,TRUE,"High"
"1","accuracy",0.921,FALSE,"nw_High"
"1","accuracy",0.605,FALSE,"low"
"1","accuracy",0.884,TRUE,"nw_High"
"1","accuracy",0.582,TRUE,"High"
"1","accuracy",0.48,TRUE,"low"
"1","accuracy",0.451,FALSE,"nw_High"
"1","accuracy",0.722,TRUE,"nw_very_low"
"1","accuracy",1.282,FALSE,"very_low"
"1","accuracy",1.002,TRUE,"nw_very_low"
"1","accuracy",0.543,TRUE,"High"
"1","accuracy",0.5,TRUE,"High"
"1","accuracy",0.67,TRUE,"nw_High"
"1","accuracy",2.399,FALSE,"low"
"1","accuracy",0.595,TRUE,"High"
"1","accuracy",0.509,TRUE,"High"
"1","accuracy",0.686,TRUE,"low"
"1","accuracy",0.46,TRUE,"very_low"
"1","speed",0.949,TRUE,"very_low"
"1","speed",0.581,TRUE,"low"
"1","speed",0.852,TRUE,"very_low"
"1","speed",0.702,TRUE,"nw_High"
"1","speed",0.671,TRUE,"low"
"1","speed",0.45,TRUE,"High"
"1","speed",0.48,TRUE,"High"
"1","speed",0.431,TRUE,"High"
"1","speed",0.431,TRUE,"High"
"1","speed",0.461,TRUE,"High"
"1","speed",0.495,TRUE,"nw_low"
"1","speed",0.5,TRUE,"nw_very_low"
"1","speed",0.665,TRUE,"nw_High"
"1","speed",0.539,TRUE,"nw_very_low"
"1","speed",0.534,TRUE,"High"
"1","speed",0.553,TRUE,"nw_very_low"
"1","speed",0.725,TRUE,"nw_High"
"1","speed",0.646,TRUE,"nw_very_low"
"1","speed",0.455,TRUE,"High"
"1","speed",0.94,TRUE,"very_low"
"1","speed",0.444,TRUE,"low"
"1","speed",0.515,TRUE,"nw_low"
"1","speed",0.406,TRUE,"low"
"1","speed",0.441,TRUE,"low"
"1","speed",0.46,TRUE,"High"
"1","speed",0.563,TRUE,"nw_very_low"
"1","speed",0.559,TRUE,"nw_High"
"1","speed",0.387,TRUE,"low"
"1","speed",0.539,TRUE,"very_low"
"1","speed",0.411,TRUE,"High"
"1","speed",0.603,TRUE,"nw_High"
"1","speed",0.553,TRUE,"very_low"
"1","speed",0.573,TRUE,"nw_High"
"1","speed",0.759,TRUE,"low"
"1","speed",0.732,TRUE,"nw_very_low"
"1","speed",0.734,TRUE,"nw_very_low"
"1","speed",0.822,TRUE,"nw_low"
"1","speed",0.741,TRUE,"High"
"1","speed",0.539,TRUE,"low"
"1","speed",0.47,TRUE,"very_low"
"1","speed",0.421,TRUE,"very_low"
"1","speed",0.612,FALSE,"very_low"
"1","speed",0.524,TRUE,"High"
"1","speed",0.603,TRUE,"nw_High"
"1","speed",0.528,TRUE,"nw_very_low"
"1","speed",0.461,FALSE,"low"
"1","speed",0.734,TRUE,"nw_very_low"
"1","speed",0.676,TRUE,"nw_very_low"
"1","speed",0.533,TRUE,"very_low"
"1","speed",0.592,TRUE,"nw_low"
"1","speed",0.411,TRUE,"nw_very_low"
"1","speed",0.441,TRUE,"nw_low"
"1","speed",0.441,TRUE,"nw_High"
"1","speed",0.45,TRUE,"nw_High"
"1","speed",0.441,TRUE,"nw_low"
"1","speed",0.46,TRUE,"nw_low"
"1","speed",0.798,FALSE,"nw_very_low"
"1","speed",0.439,TRUE,"nw_low"
"1","speed",0.44,TRUE,"nw_low"
"1","speed",0.72,TRUE,"very_low"
"1","speed",0.607,TRUE,"very_low"
"1","speed",0.431,TRUE,"low"
"1","speed",0.48,TRUE,"very_low"
"1","speed",0.431,TRUE,"High"
"1","speed",0.544,TRUE,"nw_low"
"1","speed",0.372,TRUE,"nw_very_low"
"1","speed",0.69,TRUE,"very_low"
"1","speed",0.524,TRUE,"nw_High"
"1","speed",0.49,TRUE,"nw_High"
"1","speed",0.803,FALSE,"very_low"
"1","speed",0.541,TRUE,"nw_low"
"1","speed",0.553,TRUE,"very_low"
"1","speed",0.632,TRUE,"nw_low"
"1","speed",0.485,TRUE,"very_low"
"1","speed",0.769,TRUE,"nw_very_low"
"1","speed",0.678,TRUE,"nw_very_low"
"1","speed",0.515,TRUE,"low"
"1","speed",0.613,TRUE,"nw_High"
"1","speed",0.554,TRUE,"low"
"1","speed",0.641,TRUE,"nw_low"
"1","speed",0.451,TRUE,"nw_low"
"1","speed",0.416,TRUE,"High"
"1","speed",0.451,TRUE,"low"
"1","speed",0.525,TRUE,"nw_low"
"1","speed",0.436,TRUE,"low"
"1","speed",0.475,TRUE,"nw_very_low"
"1","speed",0.397,TRUE,"low"
"1","speed",0.534,TRUE,"nw_High"
"1","speed",0.656,TRUE,"nw_High"
"1","speed",0.426,TRUE,"low"
"1","speed",0.431,TRUE,"High"
"1","speed",0.504,TRUE,"nw_low"
"1","speed",0.446,TRUE,"High"
"1","speed",0.582,FALSE,"High"
"1","speed",1.929,TRUE,"nw_High"
"1","speed",0.952,TRUE,"nw_High"
"1","accuracy",0.758,TRUE,"nw_very_low"
"1","accuracy",0.475,TRUE,"low"
"1","accuracy",0.524,TRUE,"nw_High"
"1","accuracy",0.539,TRUE,"nw_low"
"1","accuracy",0.744,TRUE,"nw_very_low"
"1","accuracy",0.837,TRUE,"low"
"1","accuracy",0.578,TRUE,"low"
"1","accuracy",0.724,TRUE,"low"
"1","accuracy",0.651,TRUE,"nw_low"
"1","accuracy",0.75,TRUE,"very_low"
"1","accuracy",0.568,TRUE,"low"
"1","accuracy",1.18,TRUE,"nw_low"
"1","accuracy",0.642,TRUE,"very_low"
"1","accuracy",0.592,TRUE,"nw_very_low"
"1","accuracy",0.666,TRUE,"nw_High"
"1","accuracy",0.485,TRUE,"High"
"1","accuracy",0.528,TRUE,"low"
"1","accuracy",0.661,TRUE,"nw_low"
"1","accuracy",0.466,TRUE,"High"
"1","accuracy",0.621,TRUE,"nw_low"
"1","accuracy",0.52,TRUE,"nw_low"
"1","accuracy",0.583,TRUE,"very_low"
"1","accuracy",0.539,TRUE,"low"
"1","accuracy",0.954,FALSE,"very_low"
"1","accuracy",0.63,FALSE,"very_low"
"1","accuracy",0.595,TRUE,"very_low"
"1","accuracy",0.577,TRUE,"very_low"
"1","accuracy",0.945,TRUE,"nw_very_low"
"1","accuracy",0.568,TRUE,"nw_low"
"1","accuracy",0.475,TRUE,"High"
"1","accuracy",0.646,TRUE,"very_low"
"1","accuracy",0.529,TRUE,"High"
"1","accuracy",0.784,TRUE,"low"
"1","accuracy",0.603,TRUE,"nw_High"
"1","accuracy",0.675,TRUE,"nw_very_low"
"1","accuracy",0.49,TRUE,"nw_very_low"
"1","accuracy",0.455,TRUE,"High"
"1","accuracy",0.608,TRUE,"low"
"1","accuracy",0.538,TRUE,"High"
"1","accuracy",0.514,TRUE,"nw_very_low"
"1","accuracy",0.952,TRUE,"nw_very_low"
"1","accuracy",0.563,TRUE,"low"
"1","accuracy",0.778,TRUE,"nw_very_low"
"1","accuracy",0.505,TRUE,"High"
"1","accuracy",0.73,TRUE,"nw_low"
"1","accuracy",0.588,FALSE,"very_low"
"1","accuracy",0.536,TRUE,"High"
"1","accuracy",0.627,TRUE,"low"
"1","accuracy",0.563,TRUE,"nw_very_low"
"1","accuracy",0.94,TRUE,"nw_High"
"1","accuracy",0.47,TRUE,"nw_low"
"1","accuracy",0.504,TRUE,"very_low"
"1","accuracy",0.519,TRUE,"High"
"1","accuracy",0.661,TRUE,"nw_very_low"
"1","accuracy",0.73,TRUE,"very_low"
"1","accuracy",0.583,TRUE,"nw_High"
"1","accuracy",0.416,TRUE,"High"
"1","accuracy",0.774,TRUE,"low"
"1","accuracy",0.504,FALSE,"low"
"1","accuracy",0.571,TRUE,"nw_High"
"1","accuracy",0.568,TRUE,"nw_High"
"1","accuracy",0.989,FALSE,"very_low"
"1","accuracy",0.742,TRUE,"very_low"
"1","accuracy",0.729,TRUE,"nw_very_low"
"1","accuracy",0.539,TRUE,"nw_low"
"1","accuracy",1.135,TRUE,"nw_High"
"1","accuracy",0.519,TRUE,"nw_low"
"1","accuracy",0.505,TRUE,"High"
"1","accuracy",0.46,TRUE,"very_low"
"1","accuracy",0.643,TRUE,"nw_High"
"1","accuracy",0.446,TRUE,"low"
"1","accuracy",0.778,TRUE,"nw_low"
"1","accuracy",0.646,TRUE,"nw_High"
"1","accuracy",0.544,TRUE,"High"
"1","accuracy",0.656,FALSE,"nw_High"
"1","accuracy",0.977,TRUE,"nw_High"
"1","accuracy",1.116,TRUE,"nw_High"
"1","accuracy",0.499,TRUE,"nw_low"
"1","accuracy",0.887,TRUE,"very_low"
"1","accuracy",0.564,TRUE,"nw_low"
"1","accuracy",0.495,TRUE,"High"
"1","accuracy",0.544,TRUE,"nw_very_low"
"1","accuracy",0.949,TRUE,"nw_low"
"1","accuracy",0.622,TRUE,"High"
"1","accuracy",0.73,TRUE,"nw_High"
"1","accuracy",0.48,TRUE,"nw_very_low"
"1","accuracy",0.446,TRUE,"High"
"1","accuracy",0.666,TRUE,"very_low"
"1","accuracy",0.578,TRUE,"low"
"1","accuracy",0.67,TRUE,"nw_High"
"1","accuracy",0.607,TRUE,"nw_High"
"1","accuracy",0.544,TRUE,"low"
"1","accuracy",0.465,FALSE,"High"
"1","accuracy",0.6,TRUE,"nw_low"
"1","accuracy",0.49,TRUE,"nw_very_low"
"1","accuracy",0.499,TRUE,"nw_very_low"
"1","speed",0.621,TRUE,"nw_High"
"1","speed",0.407,TRUE,"High"
"1","speed",0.445,TRUE,"nw_very_low"
"1","speed",0.451,TRUE,"nw_High"
"1","speed",0.416,TRUE,"High"
"1","speed",0.622,TRUE,"nw_High"
"1","speed",0.407,TRUE,"low"
"1","speed",0.412,TRUE,"High"
"1","speed",0.411,TRUE,"High"
"1","speed",0.779,TRUE,"nw_very_low"
"1","speed",0.507,TRUE,"High"
"1","speed",0.71,TRUE,"nw_low"
"1","speed",0.592,TRUE,"low"
"1","speed",0.495,TRUE,"nw_High"
"1","speed",0.607,TRUE,"nw_very_low"
"1","speed",0.602,TRUE,"High"
"1","speed",0.553,TRUE,"nw_High"
"1","speed",0.563,TRUE,"low"
"1","speed",0.559,TRUE,"low"
"1","speed",0.583,TRUE,"nw_low"
"1","speed",0.475,TRUE,"low"
"1","speed",0.529,TRUE,"very_low"
"1","speed",0.573,TRUE,"nw_low"
"1","speed",0.367,TRUE,"High"
"1","speed",0.431,TRUE,"High"
"1","speed",0.827,TRUE,"nw_low"
"1","speed",0.629,TRUE,"nw_High"
"1","speed",0.421,TRUE,"nw_very_low"
"1","speed",0.475,TRUE,"very_low"
"1","speed",0.69,TRUE,"nw_low"
"1","speed",0.529,TRUE,"nw_High"
"1","speed",0.392,FALSE,"low"
"1","speed",1.096,TRUE,"nw_High"
"1","speed",0.664,TRUE,"very_low"
"1","speed",0.93,TRUE,"very_low"
"1","speed",0.404,TRUE,"High"
"1","speed",0.558,TRUE,"low"
"1","speed",0.563,TRUE,"nw_High"
"1","speed",0.5,TRUE,"nw_low"
"1","speed",0.509,TRUE,"nw_very_low"
"1","speed",0.495,TRUE,"High"
"1","speed",0.69,TRUE,"nw_low"
"1","speed",0.485,TRUE,"very_low"
"1","speed",0.597,TRUE,"High"
"1","speed",0.51,TRUE,"very_low"
"1","speed",0.451,TRUE,"High"
"1","speed",0.431,TRUE,"low"
"1","speed",0.451,FALSE,"nw_High"
"1","speed",0.622,TRUE,"nw_very_low"
"1","speed",1.679,TRUE,"very_low"
"1","speed",0.737,TRUE,"low"
"1","speed",0.643,TRUE,"nw_very_low"
"1","speed",0.47,TRUE,"nw_very_low"
"1","speed",0.681,TRUE,"very_low"
"1","speed",0.583,TRUE,"nw_low"
"1","speed",0.402,TRUE,"nw_very_low"
"1","speed",0.69,TRUE,"very_low"
"1","speed",0.598,FALSE,"nw_very_low"
"1","speed",0.533,FALSE,"very_low"
"1","speed",0.564,TRUE,"very_low"
"1","speed",0.451,TRUE,"High"
"1","speed",0.451,TRUE,"High"
"1","speed",0.592,TRUE,"nw_low"
"1","speed",0.49,FALSE,"very_low"
"1","speed",0.503,TRUE,"low"
"1","speed",0.485,TRUE,"nw_High"
"1","speed",0.413,TRUE,"nw_High"
"1","speed",0.71,TRUE,"low"
"1","speed",0.426,TRUE,"nw_low"
"1","speed",0.46,TRUE,"nw_low"
"1","speed",0.501,TRUE,"nw_very_low"
"1","speed",0.554,TRUE,"low"
"1","speed",0.388,TRUE,"nw_low"
"1","speed",0.603,TRUE,"low"
"1","speed",0.455,TRUE,"nw_low"
"1","speed",0.404,TRUE,"nw_low"
"1","speed",0.392,TRUE,"nw_low"
"1","speed",0.446,TRUE,"High"
"1","speed",0.445,TRUE,"nw_High"
"1","speed",0.706,FALSE,"very_low"
"1","speed",1.215,TRUE,"nw_very_low"
"1","speed",0.614,TRUE,"very_low"
"1","speed",0.485,FALSE,"very_low"
"1","speed",0.666,TRUE,"nw_very_low"
"1","speed",0.528,FALSE,"low"
"1","speed",0.49,TRUE,"nw_High"
"1","speed",1.092,TRUE,"very_low"
"1","speed",0.409,TRUE,"nw_High"
"1","speed",0.7,TRUE,"low"
"1","speed",0.514,TRUE,"nw_very_low"
"1","speed",1.209,TRUE,"low"
"1","speed",0.517,TRUE,"nw_High"
"1","speed",0.49,TRUE,"nw_low"
"1","speed",0.783,TRUE,"nw_very_low"
"1","speed",0.433,TRUE,"nw_very_low"
"1","speed",0.485,TRUE,"High"
"1","accuracy",0.954,TRUE,"nw_low"
"1","accuracy",0.436,TRUE,"High"
"1","accuracy",0.679,TRUE,"nw_High"
"1","accuracy",0.524,TRUE,"High"
"1","accuracy",0.911,TRUE,"very_low"
"1","accuracy",0.578,TRUE,"very_low"
"1","accuracy",0.489,TRUE,"very_low"
"1","accuracy",0.495,TRUE,"nw_High"
"1","accuracy",0.656,TRUE,"nw_low"
"1","accuracy",0.705,TRUE,"nw_High"
"1","accuracy",0.494,TRUE,"High"
"1","accuracy",0.451,TRUE,"High"
"1","accuracy",0.7,TRUE,"nw_low"
"1","accuracy",0.945,TRUE,"very_low"
"1","accuracy",0.592,TRUE,"nw_very_low"
"1","accuracy",0.514,TRUE,"low"
"1","accuracy",1.009,TRUE,"very_low"
"1","accuracy",1.972,TRUE,"nw_very_low"
"1","accuracy",0.558,TRUE,"nw_very_low"
"1","accuracy",0.67,TRUE,"low"
"1","accuracy",1.058,TRUE,"very_low"
"1","accuracy",1.072,FALSE,"very_low"
"1","accuracy",0.835,TRUE,"nw_low"
"1","accuracy",0.587,TRUE,"nw_High"
"1","accuracy",0.612,TRUE,"very_low"
"1","accuracy",0.441,TRUE,"High"
"1","accuracy",0.624,TRUE,"nw_High"
"1","accuracy",0.617,TRUE,"nw_very_low"
"1","accuracy",0.456,TRUE,"low"
"1","accuracy",0.524,TRUE,"nw_High"
"1","accuracy",0.842,TRUE,"nw_low"
"1","accuracy",0.538,TRUE,"nw_very_low"
"1","accuracy",1.347,TRUE,"low"
"1","accuracy",0.577,TRUE,"low"
"1","accuracy",0.651,FALSE,"very_low"
"1","accuracy",0.639,TRUE,"nw_low"
"1","accuracy",0.564,TRUE,"low"
"1","accuracy",0.892,TRUE,"very_low"
"1","accuracy",0.549,FALSE,"nw_very_low"
"1","accuracy",0.517,TRUE,"nw_low"
"1","accuracy",0.494,TRUE,"low"
"1","accuracy",0.524,TRUE,"nw_High"
"1","accuracy",0.475,TRUE,"High"
"1","accuracy",1.273,FALSE,"nw_low"
"1","accuracy",0.526,TRUE,"nw_very_low"
"1","accuracy",0.411,TRUE,"nw_High"
"1","accuracy",0.582,TRUE,"low"
"1","accuracy",0.661,TRUE,"nw_High"
"1","accuracy",0.642,FALSE,"nw_low"
"1","accuracy",1.128,TRUE,"High"
"1","accuracy",0.612,TRUE,"nw_low"
"1","accuracy",0.47,TRUE,"nw_very_low"
"1","accuracy",0.549,TRUE,"nw_low"
"1","accuracy",0.602,TRUE,"low"
"1","accuracy",0.798,TRUE,"nw_High"
"1","accuracy",0.764,TRUE,"nw_High"
"1","accuracy",0.489,TRUE,"nw_very_low"
"1","accuracy",0.622,TRUE,"low"
"1","accuracy",0.744,TRUE,"low"
"1","accuracy",0.534,TRUE,"nw_very_low"
"1","accuracy",0.529,TRUE,"nw_very_low"
"1","accuracy",0.485,TRUE,"High"
"1","accuracy",0.847,TRUE,"nw_High"
"1","accuracy",0.593,TRUE,"low"
"1","accuracy",0.578,TRUE,"High"
"1","accuracy",0.519,TRUE,"High"
"1","accuracy",0.553,TRUE,"nw_low"
"1","accuracy",0.485,TRUE,"High"
"1","accuracy",0.553,TRUE,"nw_very_low"
"1","accuracy",0.553,TRUE,"High"
"1","accuracy",0.617,TRUE,"High"
"1","accuracy",0.97,TRUE,"low"
"1","accuracy",0.535,TRUE,"nw_low"
"1","accuracy",0.627,TRUE,"nw_High"
"1","accuracy",0.489,TRUE,"nw_very_low"
"1","accuracy",0.524,TRUE,"very_low"
"1","accuracy",0.51,TRUE,"High"
"1","accuracy",0.577,TRUE,"very_low"
"1","accuracy",0.603,TRUE,"nw_low"
"1","accuracy",0.509,TRUE,"nw_low"
"1","accuracy",0.499,TRUE,"nw_High"
"1","accuracy",0.559,TRUE,"nw_very_low"
"1","accuracy",0.49,TRUE,"nw_High"
"1","accuracy",0.495,TRUE,"low"
"1","accuracy",0.46,TRUE,"High"
"1","accuracy",0.519,TRUE,"very_low"
"1","accuracy",0.544,TRUE,"nw_low"
"1","accuracy",2.002,TRUE,"very_low"
"1","accuracy",0.573,TRUE,"nw_very_low"
"1","accuracy",0.534,TRUE,"very_low"
"1","accuracy",0.597,TRUE,"low"
"1","accuracy",0.661,TRUE,"nw_High"
"1","accuracy",0.524,TRUE,"High"
"1","accuracy",0.563,TRUE,"nw_very_low"
"1","accuracy",0.485,TRUE,"very_low"
"1","accuracy",0.539,TRUE,"low"
"1","speed",0.71,TRUE,"nw_very_low"
"1","speed",0.392,TRUE,"nw_low"
"1","speed",0.436,TRUE,"very_low"
"1","speed",0.744,FALSE,"nw_low"
"1","speed",0.593,TRUE,"nw_low"
"1","speed",0.636,TRUE,"nw_very_low"
"1","speed",0.451,TRUE,"nw_High"
"1","speed",0.44,TRUE,"nw_low"
"1","speed",0.436,TRUE,"High"
"1","speed",0.392,TRUE,"High"
"1","speed",0.597,TRUE,"low"
"1","speed",0.627,FALSE,"nw_very_low"
"1","speed",0.412,FALSE,"nw_very_low"
"1","speed",0.755,TRUE,"low"
"1","speed",0.487,TRUE,"nw_High"
"1","speed",0.494,TRUE,"High"
"1","speed",0.47,TRUE,"High"
"1","speed",0.852,TRUE,"low"
"1","speed",0.561,TRUE,"low"
"1","speed",0.49,TRUE,"very_low"
"1","speed",0.421,TRUE,"High"
"1","speed",0.431,TRUE,"very_low"
"1","speed",0.514,TRUE,"nw_very_low"
"1","speed",0.606,TRUE,"nw_low"
"1","speed",0.416,TRUE,"low"
"1","speed",0.451,TRUE,"High"
"1","speed",0.495,TRUE,"nw_very_low"
"1","speed",0.548,TRUE,"nw_High"
"1","speed",0.455,FALSE,"nw_low"
"1","speed",0.417,FALSE,"very_low"
"1","speed",0.524,TRUE,"low"
"1","speed",0.534,TRUE,"nw_low"
"1","speed",0.529,TRUE,"nw_very_low"
"1","speed",0.495,TRUE,"very_low"
"1","speed",0.569,TRUE,"very_low"
"1","speed",0.789,TRUE,"nw_High"
"1","speed",1.153,TRUE,"low"
"1","speed",0.507,TRUE,"nw_low"
"1","speed",0.46,TRUE,"nw_High"
"1","speed",0.411,TRUE,"nw_High"
"1","speed",0.446,TRUE,"very_low"
"1","speed",0.485,TRUE,"nw_High"
"1","speed",0.553,TRUE,"low"
"1","speed",0.47,TRUE,"low"
"1","speed",0.524,TRUE,"nw_very_low"
"1","speed",0.607,TRUE,"nw_very_low"
"1","speed",0.431,TRUE,"nw_very_low"
"1","speed",0.822,TRUE,"nw_low"
"1","speed",0.453,FALSE,"very_low"
"1","speed",0.685,TRUE,"nw_very_low"
"1","speed",0.842,FALSE,"very_low"
"1","speed",0.488,TRUE,"High"
"1","speed",0.559,TRUE,"low"
"1","speed",0.514,TRUE,"nw_low"
"1","speed",0.441,TRUE,"nw_low"
