"Sex","Extraversion","Conscientiousness","Neuroticism","Openness","HonestyHumility","Agreeableness","Disinhibition","Detachment","NegativeAffect","Antagonism","Psychoticism"
"Female",2.605,4.36,3.925,5.635,5.2,5.395,1.254,1.26,1.734,0.732,1.134
"Female",1.54,4.645,5.335,4.465,2.36,3.19,0.492,1.746,2.334,1.182,1.446
"Male",2.32,6.295,1.96,3.79,5.5,5.485,0.036,1.374,0.138,1.188,2.106
"Male",5.875,5.05,3.67,6.205,4.84,4.78,0.552,1.272,1.326,0.756,0.69
"Female",5.935,3.145,2.08,2.995,5.68,5.335,2.316,1.086,2.316,1.476,1.686
"Male",6.265,2.995,3.91,5.425,6.42,6.04,0.144,0.078,0.81,1.23,0.948
"Male",2.785,4.375,5.035,4.195,4.075,5.185,2.076,1.002,2.016,1.422,1.728
"Female",1.525,3.205,5.635,3.97,4.555,3.88,1.662,2.166,2.778,0.402,2.25
"Male",4.675,5.35,3.715,5.11,4.735,5.545,0.744,0.792,1.188,0.384,0.93
"Female",6.265,5.41,3.07,6.025,5.785,5.23,0.672,0.114,0.72,0,0.144
"Female",4.465,4.39,4.375,3.085,5.4,5.65,1.182,1.002,1.092,0.816,2.064
"Male",2.62,6.34,3.01,5.245,5.5,6.49,0,0.888,0.858,0,0.24
"Male",4.09,4.405,4.15,4.945,3.205,5.695,0.912,1.248,1.62,1.386,1.374
"Female",4.195,3.805,3.895,2.815,2.98,4.87,0.516,1.506,2.13,0.924,2.352
"Female",2.245,3.07,6.34,6.685,4.03,5.905,1.782,0.828,2.388,0.93,1.59
"Male",1.9,3.55,5.08,2.095,2.515,3.76,2.586,2.1,1.926,0.786,2.394
"Female",2.71,4.945,3.97,5.47,2.5,3.55,1.398,2.31,1.746,1.206,1.47
"Female",4.825,4,3.61,3.715,5.22,5.2,0.102,0.708,0.528,0.378,0.384
"Male",2.71,3.34,2.965,4.51,4.375,5.725,0.804,1.068,0.912,0.756,1.47
"Female",6.895,3.685,3.505,6.235,2.05,5.5,0.744,0.252,1.422,0.432,0.768
"Female",1.51,4.915,2.725,5.23,2.905,4.285,0.168,1.422,1.632,0.438,1.38
"Male",4.09,3.31,2.815,3.745,4.18,4.99,1.518,1.062,1.32,0.48,1.71
"Male",2.605,5.845,3.745,5.38,4.945,4.18,0.45,1.812,1.14,0.426,0.408
"Female",3.925,5.5,2.335,6.055,2.395,5.755,0.6,1.044,1.35,1.242,0.816
"Female",5.995,1.795,4.12,5.56,6.1,6.775,1.254,0.726,1.794,0.474,1.53
"Female",4.6,3.535,4.39,6.13,6.265,5.035,2.172,0.87,2.124,1.65,3
"Male",2.095,3.91,5.125,3.595,4.33,5.47,1.278,2.184,2.676,0.138,2.352
"Female",2.68,4.57,4.66,5.23,5.02,6.31,0.936,0.804,2.136,0.762,1.848
"Male",5.695,3.595,4.45,6.76,3.625,5.38,1.122,0.954,1.752,1.326,2.424
"Male",3.7,4.45,6.145,5.695,3.73,4.855,0.984,1.794,1.884,1.446,1.812
"Female",4.705,5.125,5.215,4.855,2.17,6.04,0.972,0.93,1.866,0.732,1.44
"Male",2.29,5.005,3.955,4.93,3.4,4.96,1.02,1.044,1.572,0.162,1.272
"Male",6.445,2.89,5.29,4.66,2.905,5.875,2.664,0.954,2.106,1.542,1.89
"Female",3.4,4.645,4.39,4.945,4.45,4.975,1.104,1.356,1.626,1.092,1.854
"Male",4.315,6.19,2.65,6.115,2.245,5.995,1.002,0.762,1.008,0.594,1.932
"Male",6.07,4.525,4.66,3.835,2.5,5.08,1.89,1.506,2.202,0.99,1.926
"Male",5.695,3.16,3.325,4.045,4.82,6.175,0.342,1.008,1.56,0.396,0.156
"Female",1.555,3.805,5.38,3.34,2.815,4.15,1.686,1.536,2.082,1.5,0.78
"Female",4.945,3.91,4.24,5.215,2.155,4.855,1.434,1.002,0.864,0.75,1.068
"Female",2.365,5.035,3.535,4.39,3.76,5.83,0.27,1.338,1.014,0.33,1.14
"Female",5.245,3.34,4.795,4.33,3.67,4.78,1.764,1.23,1.926,0.786,1.434
"Female",4.645,3.22,3.025,4.105,2.46,5.815,0.954,1.392,1.566,0.936,0.882
"Female",3.19,4.84,3.97,4.54,3.655,3.67,1.38,1.71,1.926,1.446,1.536
"Female",5.89,6.175,5.17,3.22,1.915,6.85,0.054,1.374,1.404,0.99,2.07
"Female",2.08,4.12,4.3,5.8,3.46,4.15,0.312,1.764,1.89,1.11,1.236
"Male",3.175,4.705,3.16,4.99,2.83,3.355,1.29,1.356,1.404,1.224,1.854
"Female",3.445,3.55,4.39,3.82,4.26,4.975,1.194,0.81,1.728,0.216,0.942
"Male",1.375,5.215,2.935,6.16,1.045,4.345,1.428,1.416,2.16,1.788,1.932
"Female",3.235,3.535,5.455,6.76,3.055,6.715,0.984,1.704,2.124,0.786,0.018
"Male",2.5,6.985,4,7,1,5.5,0,0.6,2.4,0,3
"Female",6.28,4.795,4.3,4.765,2.605,6.49,0.606,0.828,1.818,0.954,1.182
"Female",1.195,4.39,4.48,4.78,4.93,4.465,0,1.452,1.416,0.624,0.45
"Female",2.455,1.9,5.125,4.645,5.11,5.215,1.158,1.596,2.544,0.522,2.262
"Male",4.465,3.76,4.285,5.275,3.49,4.39,1.488,0.834,1.902,0.78,0.75
"Female",2.665,3.535,3.955,5.815,3.7,4.36,0.966,0.588,1.506,1.074,0.528
"Male",6.28,4.075,4.06,6.4,5.275,6.13,1.356,0.648,1.65,0.498,1.248
"Male",4.39,5.62,3.55,6.325,4.18,5.11,1.026,1.218,1.278,0.474,1.014
"Male",1.51,3.505,2.26,4.87,5.365,5.62,2.064,1.068,1.764,0.876,1.512
"Female",4.135,4.75,4.57,5.32,1.96,4.93,1.488,1.644,2.37,1.842,2.142
"Female",2.2,3.745,5.14,4.975,1.93,4.99,1.848,1.836,2.574,1.464,1.698
"Female",5.185,3.355,4.255,6.07,3.595,3.73,1.38,1.026,1.59,1.614,1.374
"Female",2.35,3.385,2.485,6.835,5.635,5.455,1.344,0.834,0.594,0.096,2.142
"Female",1.495,3.67,5.2,4.87,4.165,5.995,1.164,1.326,2.784,0.69,2.88
"Male",4.21,4.36,2.86,4.72,5.035,5.395,1.53,0.966,1.788,1.572,1.266
"Male",1.09,4.315,4.165,4.435,5.56,3.85,1.428,1.68,1.278,0.384,0.792
"Female",1,5.2,3.385,5.32,5.995,5.905,0.318,1.416,1.284,0.294,2.178
"Female",3.535,6.34,4.03,4.765,3.595,6.37,0.354,1.188,1.68,0.504,0.534
"Female",2.14,5.905,6.355,6.715,4.825,7,1.68,1.812,1.962,0,2.052
"Female",3.4,5.995,2.725,6.91,3.025,3.43,0.072,0.186,0.354,0.162,2.028
"Female",2.875,6.865,2.515,6.04,3.805,5.59,0,0.006,0.006,0.006,0
"Male",2.305,2.365,4.435,5.545,4.09,4.27,1.614,1.008,1.902,0.882,2.382
"Male",4.075,3.775,3.385,3.895,4.48,4.84,1.512,1.332,1.698,1.806,1.626
"Male",3.085,2.845,4.72,5.545,3.835,5.185,1.398,1.356,2.13,1.866,1.914
"Female",3.76,4.255,2.935,2.155,3.36,4.87,0.648,1.278,1.41,0.396,0.528
"Female",5.44,2.935,4.51,4.06,3.52,5.98,1.404,0.972,2.442,1.206,2.148
"Female",1.735,4.435,4.87,5.995,5.605,7,0.552,1.8,1.542,0.612,1.692
"Male",3.91,3.52,3.805,3.55,3.34,4.165,1.95,1.92,1.674,1.626,1.794
"Female",2.74,4.21,3.67,4.03,3.565,4.39,0.762,1.764,1.452,0.978,1.458
"Female",3.835,4.51,3.49,4.57,3.1,5.38,0.972,1.158,1.77,1.128,1.182
"Male",2.785,5.74,3.025,5.29,4.585,5.62,0.39,0.918,1.284,1.134,1.266
"Female",3.565,4.915,3.475,5.5,5.305,7,0.606,0.294,0.282,0.06,0.036
"Male",2.965,4.24,5.14,3.655,2.515,4.615,1.608,1.794,1.956,1.236,2.034
"Female",4.87,3.505,4.03,4.3,4.84,6.22,1.446,1.122,1.422,1.29,0.204
"Male",3.475,4.24,4.3,4.165,2.7,5.245,0.654,1.536,0.9,0.498,0.408
"Male",4.555,4.03,4.285,4.66,3.55,4.135,1.596,1.434,1.71,1.41,1.608
"Female",3.835,3.565,4.69,4.975,3.28,5.275,2.064,1.212,1.59,2.16,1.56
"Male",5.74,2.74,3.88,5.23,2.935,3.7,1.866,1.548,1.686,1.374,1.68
"Male",5.395,3.43,3.7,3.985,6.24,4.54,0.582,0.294,0.21,0.678,0.42
"Female",2.815,3.25,5.56,3.565,3.52,5.425,1.878,1.968,2.496,1.074,2.136
"Male",3.475,4.195,3.865,4.825,5.035,6.19,1.29,1.02,1.494,1.05,1.632
"Female",3.295,3.925,6.07,4.345,4.24,4.72,0.984,1.716,2.154,1.128,1.482
"Female",2.92,3.94,3.58,4.63,3.685,4.405,1.728,1.56,1.626,1.614,2.292
"Male",4.255,4.21,5.365,5.755,5.65,4.63,1.452,0.894,1.746,0.432,1.716
"Male",3.55,3.76,3.82,4.06,4.02,4.9,0.81,1.488,0.252,0.666,0.954
"Male",5.08,5.68,4.075,5.14,2.77,4.255,0.744,1.056,1.644,1.902,1.116
"Female",3.685,4.99,2.95,6.37,4.81,6.235,0.354,0.756,1.998,1.2,1.068
"Female",3.745,2.23,5.215,4.03,5.5,6.295,2.232,0.624,2.25,0.012,0.51
"Female",3.16,4.18,5.215,4.285,4.57,6.775,1.08,1.134,2.364,0,1.146
"Male",2.695,4.21,5.785,5.26,4.39,5.545,0.318,1.056,1.158,0.954,0.726
"Female",4.15,4.555,4.69,3.25,2.365,4.405,2.202,1.89,2.172,1.566,1.806
"Female",3.55,4.285,4.21,5.74,5.305,5.92,1.014,0.918,1.32,0.468,1.482
"Male",5.05,6.25,3.22,6.415,2.38,6.715,0.192,0.12,0.6,1.494,0.33
"Male",3.805,5.2,2.785,6.22,4.36,5.245,0.666,0.624,0.714,0.03,0.366
"Female",5.71,4.84,3.58,5.26,3.85,5.11,0.72,0.612,1.44,0.588,0.75
"Female",4.15,4.51,4,3.55,3.78,4.765,0.804,0.744,1.782,0.756,1.164
"Male",5.47,5.155,2.98,5.425,3.34,5.155,0.486,0.276,0.612,0.966,0.828
"Female",2.56,3.04,3.58,6.025,4.09,5.35,1.734,1.464,1.494,0.804,1.494
"Male",5.875,5.185,3.01,7,5.32,5.62,0.6,1.092,0.594,0.384,1.254
"Male",3.775,2.665,5.35,4.84,5.455,4.825,1.692,1.446,1.662,1.026,1.884
"Female",3.685,5.545,4.39,5.905,1.735,5.56,0.288,0.636,1.062,0.588,0.996
"Male",1.99,1.375,6.175,6.37,2.44,2.095,1.374,2.238,1.434,1.32,2.532
"Male",1.225,3.55,3.205,6.13,2.785,5.755,0.762,2.214,0.456,0.42,0.75
"Male",4.705,4.765,4.255,3.415,3.925,3.205,1.74,1.446,1.566,1.794,1.374
"Female",4.12,5.095,4.45,6.625,2.815,4.555,1.2,1.194,1.752,0.474,2.496
"Male",5.395,3.34,3.58,3.55,5.68,5.86,1.542,0.996,0.264,1.116,0.942
"Male",4.18,4.03,4.03,4.45,3.265,4.525,0.954,0.762,1.14,0.9,1.062
"Male",4.03,3.955,6.535,4.915,4.525,6.925,1.812,0.924,2.184,0.822,1.548
"Male",2.035,6.085,1.405,3.49,4.915,4.135,0.48,1.116,0.654,0.546,0.114
"Male",4.42,2.815,3.13,4.21,3.88,4.72,0.804,1.266,1.308,0.738,0.72
"Female",4.39,5.56,3.685,6.58,4.135,6.265,0.552,0.72,1.476,0.264,0.486
"Male",4.705,4.06,4.255,5.05,1.75,6.625,1.38,1.062,2.268,0.318,1.662
"Male",3.295,4.69,4.075,4.705,4.105,4.015,1.056,1.284,1.218,1.302,1.296
"Male",5.035,5.41,2.74,5.065,3.565,4.84,1.212,0.936,0.852,0.606,0.738
"Male",2.74,3.835,4.21,6.205,3.895,5.785,1.032,0.528,1.518,1.068,2.034
"Female",5.005,5.305,4.87,5.515,2.635,5.935,0.63,1.002,1.464,0.726,1.308
"Male",2.59,2.44,4.9,2.2,1.945,3.295,1.998,1.644,2.604,2.07,2.568
"Female",4.3,4.645,4.57,5.275,4.12,6.175,0,1.68,1.296,0.138,0.828
"Male",1,6.49,2.83,3.13,7,4.165,0,0.414,0,0,0.372
"Female",5.185,3.85,3.055,5.125,2.8,5.305,1.398,1.326,1.62,1.32,1.578
"Female",5.86,3.76,5.29,4.12,1.6,5.335,1.398,1.374,2.976,1.494,1.8
"Male",2.005,2.44,5.515,5.53,2.65,5.14,1.83,2.178,2.07,0.828,1.728
"Female",2.995,5.395,6.49,6.175,5.485,5.665,1.65,1.254,2.256,0.75,1.884
"Male",5.095,3.235,4.735,3.94,5.38,4.975,0.618,1.206,1.02,0.474,0.69
"Female",4.48,5.14,4.165,4.3,3.895,5.11,0.624,0.828,1.332,0.792,0.516
"Male",3.67,4.81,3.295,5.59,5.23,5.935,1.536,0.744,1.494,0.786,1.644
"Male",4.165,3.22,4.33,6.37,4.105,5.35,1.182,0.42,1.02,0.294,0.546
"Male",6.295,6.94,1.09,6.895,1.285,6.76,0,0.084,0.414,0.612,0.06
"Female",2.245,2.965,3.085,4.075,4.87,5.485,0.444,1.146,1.53,1.032,1.68
"Male",3.43,4.6,4.855,4.465,4.32,3.835,0.93,1.224,1.194,0.93,1.116
"Female",3.115,3.43,3.115,4.39,3.955,4.12,1.17,0.972,1.512,0.714,1.362
"Male",3.925,6.925,1.84,4.345,4.18,6.52,0.078,0.594,0.816,0.444,0.198
"Male",3.19,4.375,4.495,3.835,5.185,4.495,1.86,1.104,1.266,0.522,0.384
"Male",5.905,5.11,2.395,6.73,3.64,6.265,0.552,0.018,0.966,1.08,0.756
"Male",3.565,5.635,2.035,4.825,6.7,5.005,1.452,0.978,0.516,0.072,1.218
"Male",1.42,4.36,4.945,6.61,1.39,2.5,1.758,2.226,2.364,1.92,1.746
"Female",1,4.54,5.14,7,6.595,6.97,1.344,1.224,1.794,0.096,1.134
"Male",5.62,2.65,4.285,3.805,6.08,5.74,0.312,0.474,1.398,0.816,0.918
"Female",3.535,4.75,5.35,6.34,4.555,5.905,0.66,1.452,1.89,0.498,1.206
"Male",6.22,3.37,3.97,3.73,6.2,6.325,0.072,0.114,1.422,1.302,0.63
"Female",3.88,4.03,3.475,6.82,3.895,5.935,1.23,1.236,1.194,1.356,2.148
"Male",1.78,2.74,3.415,6.475,6.34,5.635,1.218,1.152,1.698,1.524,0.444
"Male",3.505,5.245,5.05,2.56,2.83,4.345,1.608,2.07,2.058,1.926,1.422
